id,name,category_id,price,stock,expiry_date,image_url,description,brand
1,Magnum Classic Ice Cream (80ml),570ad5a4-8629-4925-a736-684494f45219,120.00,1000,2026-10-20,https://www.bbassets.com/media/uploads/p/xl/40336289_2-kwality-walls-magnum-classic-ice-cream.jpg,Rich vanilla ice cream with thick chocolate coating,Magnum

2,Kwality Wall's Cornetto D. Choco,570ad5a4-8629-4925-a736-684494f45219,60.00,1500,2026-09-15,https://i.ibb.co/gZm0dqw7/cornetto.jpg,Double chocolate flavor in a crispy cone,Kwality Wall's

3,Kwality Wall's Feast Choco Bar,570ad5a4-8629-4925-a736-684494f45219,35.00,2200,2026-11-01,https://i.ibb.co/BVW52VnK/fds.jpg,Chocolat bar with crunchy nuts,Kwality Wall's

4,Kwality Wall's Vanilla Tub (500ml),570ad5a4-8629-4925-a736-684494f45219,199.00,800,2026-12-05,https://i.ibb.co/60p6vgpz/cornetto.jpg,Classic creamy vanilla flavor family tub,Kwality Wall's

5,Kwality Wall's Paddle Pop (120ml),570ad5a4-8629-4925-a736-684494f45219,25.00,3000,2027-01-20,https://i.ibb.co/hFB0mJGT/feast.jpg,Fun fruity ice candy for kids,Kwality Wall's

6,Lakmé 9 to 5 Primer + Matte Powder,302ba771-6858-4fc5-b467-1471882a47d8,499.00,550,2027-04-10,https://i.ibb.co/SwNfKBvV/dbhd.webp,Primer and powder for a smooth finish,Lakmé

7,Lakmé Absolute Matte Lipstick,302ba771-6858-4fc5-b467-1471882a47d8,850.00,300,2027-08-25,https://i.ibb.co/vCL68LHF/njdsk.jpg,Long-lasting matte finish lipstick,Lakmé

8,Lakmé Sun Expert SPF 50,302ba771-6858-4fc5-b467-1471882a47d8,399.00,1200,2026-11-15,https://ibb.co/bMGcRKcr,High protection sunscreen gel,Lakmé

9,Ponds Super Light Gel 100g,302ba771-6858-4fc5-b467-1471882a47d8,149.00,1800,2027-03-01,https://i.ibb.co/670htJVh/sadf.webp,Non-stickyquick absorbing face moisturizer,Pond's

10,Simple Kind to Skin Moisturiser 125ml,302ba771-6858-4fc5-b467-1471882a47d8,425.00,700,2027-06-12,https://i.ibb.co/TqTTv7VT/sdf.jpg,Gentlenon-comedogenic face lotion,Simple

11,Vim Dishwash Liquid (500ml),fc66c3f1-a0e4-4f20-92b8-984e31fde8ab,85.00,2500,2027-05-01,https://i.ibb.co/DP3w287D/asd.jpg,Superiorgrease cutting in liquid form,Vim

12,Vim Dishwash Bar (250g),fc66c3f1-a0e4-4f20-92b8-984e31fde8ab,45.00,4500,2026-11-20,https://i.ibb.co/H6qHTzP/sdfd.jpg,Givesshine removes tough stains,Vim

13,Vim Anti-Bacterial Liquid 750ml,fc66c3f1-a0e4-4f20-92b8-984e31fde8ab,140.00,1500,2027-02-14,https://i.ibb.co/NdPp1VfQ/asd.jpg,Kills99.9% germs power of lime,Vim

14,Sunlight Dishwash Liquid (400ml),fc66c3f1-a0e4-4f20-92b8-984e31fde8ab,70.00,2000,2027-04-22,https://i.ibb.co/NdPp1VfQ/asd.jpg,Effective cleaning and refreshing fragrance,

15,Vim Lemon Dishwash Liquid (1L),fc66c3f1-a0e4-4f20-92b8-984e31fde8ab,165.00,1200,2027-01-10,https://placehold.co/400x400/FFD700/000000/png?text=VIM+LEMON+1L,Mega pack with powerful lemon action,Vim

16,Horlicks Classic Malt (500g),2df051a7-7dd6-4e75-b355-4d955dbbf850,299.00,1000,2027-07-01,https://i.ibb.co/933fTQXG/sdbjf.webp,A nutritional malt-based health drink,Horlicks

17,Boost Health Drink (200g),2df051a7-7dd6-4e75-b355-4d955dbbf850,150.00,1500,2027-08-05,https://placehold.co/400x400/FF4500/FFFFFF/png?text=BOOST+200G,Increases stamina and energy,Boost

18,Knorr Classic Sweet Corn Soup (43g),54ee822c-7402-4da6-b9cc-259b436f752b,60.00,2800,2026-10-15,https://i.ibb.co/rRrkrmTk/asdbjweh.jpg,Quickand easy to make sweet corn soup,Knorr

19,Horlicks Women's Plus (400g),2df051a7-7dd6-4e75-b355-4d955dbbf850,375.00,800,2027-05-20,https://i.ibb.co/s9rzSYpL/jdkhwpie.jpg,Designedto support women's bone health,Horlicks

20,Knorr Classic Tomato Soup (43g),54ee822c-7402-4da6-b9cc-259b436f752b,55.00,3200,2026-11-01,https://i.ibb.co/35gGSL2q/bhjade.jpg,Richand creamy tomato soup mix,Knorr

21,Dove Deeply Nourishing Body Wash,93b80ad2-cbd3-4d8f-8daa-ab7c3b4faa99,175.00,2000,2027-03-10,https://ibb.co/Zpyz9R4T,Moisturelock technology for soft skin,Dove

22,Pears Pure & Gentle Soap (4-Pack),93b80ad2-cbd3-4d8f-8daa-ab7c3b4faa99,190.00,4000,2027-02-01,https://i.ibb.co/YBs5Kbt4/adghwhej.jpg,Glycerin-based pure and gentle soap,Pears
